arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-3960.gr;DIJKSTRA;MATRIZ;3;3,0382
sample100-3960.gr;DIJKSTRA;MATRIZ;4;2,4787
sample100-3960.gr;DIJKSTRA;MATRIZ;5;1,6858
sample100-3960.gr;DIJKSTRA;MATRIZ;6;1,6955
sample100-3960.gr;DIJKSTRA;MATRIZ;7;1,7226
sample100-3960.gr;DIJKSTRA;MATRIZ;8;1,6259
sample100-3960.gr;DIJKSTRA;MATRIZ;9;1,5805
sample100-3960.gr;DIJKSTRA;MATRIZ;10;1,7028
sample100-3960.gr;DIJKSTRA;MATRIZ;11;2,1545
sample100-3960.gr;BELLMANFORD;LISTA;1;3,7129
sample100-3960.gr;BELLMANFORD;LISTA;2;3,4445
sample100-3960.gr;BELLMANFORD;LISTA;3;4,3948
sample100-3960.gr;BELLMANFORD;LISTA;4;3,9155
sample100-3960.gr;BELLMANFORD;LISTA;5;4,4520
sample100-3960.gr;BELLMANFORD;LISTA;6;4,4480
sample100-3960.gr;BELLMANFORD;LISTA;7;4,3452
sample100-3960.gr;BELLMANFORD;LISTA;8;4,1428
sample100-3960.gr;BELLMANFORD;LISTA;9;4,3376
sample100-3960.gr;BELLMANFORD;LISTA;10;4,5098
sample100-3960.gr;BELLMANFORD;LISTA;11;4,3908
sample100-3960.gr;BELLMANFORD;MATRIZ;1;9,9897
sample100-3960.gr;BELLMANFORD;MATRIZ;2;9,9969
sample100-3960.gr;BELLMANFORD;MATRIZ;3;12,0523
sample100-3960.gr;BELLMANFORD;MATRIZ;4;10,3764
sample100-3960.gr;BELLMANFORD;MATRIZ;5;10,8112
sample100-3960.gr;BELLMANFORD;MATRIZ;6;11,2170
sample100-3960.gr;BELLMANFORD;MATRIZ;7;10,3230
sample100-3960.gr;BELLMANFORD;MATRIZ;8;10,5227
sample100-3960.gr;BELLMANFORD;MATRIZ;9;11,6537
sample100-3960.gr;BELLMANFORD;MATRIZ;10;9,8375
sample100-3960.gr;BELLMANFORD;MATRIZ;11;11,9852
sample100-3960.gr;FLOYDWARSHALL;LISTA;1;187,5553
sample100-3960.gr;FLOYDWARSHALL;LISTA;2;179,8082
sample100-3960.gr;FLOYDWARSHALL;LISTA;3;207,2289
sample100-3960.gr;FLOYDWARSHALL;LISTA;4;167,8496
sample100-3960.gr;FLOYDWARSHALL;LISTA;5;195,8727
sample100-3960.gr;FLOYDWARSHALL;LISTA;6;171,1410
sample100-3960.gr;FLOYDWARSHALL;LISTA;7;189,7679
sample100-3960.gr;FLOYDWARSHALL;LISTA;8;175,4488
sample100-3960.gr;FLOYDWARSHALL;LISTA;9;194,4483
sample100-3960.gr;FLOYDWARSHALL;LISTA;10;164,0290
sample100-3960.gr;FLOYDWARSHALL;LISTA;11;190,8039
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;1;183,0784
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;2;175,6594
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;3;181,5335
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;4;173,0664
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;5;184,8305
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;6;173,2613
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;7;189,7683
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;8;175,6742
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;9;183,0877
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;10;180,8387
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;11;184,5584
sample100-5940.gr;BFS;LISTA;1;20,7513
sample100-5940.gr;BFS;LISTA;2;2,0491
sample100-5940.gr;BFS;LISTA;3;2,8571
sample100-5940.gr;BFS;LISTA;4;2,9576
sample100-5940.gr;BFS;LISTA;5;5,9359
sample100-5940.gr;BFS;LISTA;6;1,4266
sample100-5940.gr;BFS;LISTA;7;3,4427
sample100-5940.gr;BFS;LISTA;8;3,8073
sample100-5940.gr;BFS;LISTA;9;2,7125
sample100-5940.gr;BFS;LISTA;10;1,5762
sample100-5940.gr;BFS;LISTA;11;2,0544
sample100-5940.gr;BFS;MATRIZ;1;3,1182
sample100-5940.gr;BFS;MATRIZ;2;8,3937
sample100-5940.gr;BFS;MATRIZ;3;3,1108
sample100-5940.gr;BFS;MATRIZ;4;3,3295
sample100-5940.gr;BFS;MATRIZ;5;2,6665
sample100-5940.gr;BFS;MATRIZ;6;2,6416
sample100-5940.gr;BFS;MATRIZ;7;2,7989
sample100-5940.gr;BFS;MATRIZ;8;3,3906
sample100-5940.gr;BFS;MATRIZ;9;2,8754
sample100-5940.gr;BFS;MATRIZ;10;3,0826
sample100-5940.gr;BFS;MATRIZ;11;3,2913
sample100-5940.gr;DFS;LISTA;1;2,9312
sample100-5940.gr;DFS;LISTA;2;2,7269
sample100-5940.gr;DFS;LISTA;3;3,1582
sample100-5940.gr;DFS;LISTA;4;2,7354
sample100-5940.gr;DFS;LISTA;5;3,6157
sample100-5940.gr;DFS;LISTA;6;2,8619
sample100-5940.gr;DFS;LISTA;7;2,6166
sample100-5940.gr;DFS;LISTA;8;3,1672
sample100-5940.gr;DFS;LISTA;9;2,6984
sample100-5940.gr;DFS;LISTA;10;2,4501
sample100-5940.gr;DFS;LISTA;11;2,2677
sample100-5940.gr;DFS;MATRIZ;1;3,3939
sample100-5940.gr;DFS;MATRIZ;2;2,9622
sample100-5940.gr;DFS;MATRIZ;3;2,6089
sample100-5940.gr;DFS;MATRIZ;4;2,5407
sample100-5940.gr;DFS;MATRIZ;5;2,4258
sample100-5940.gr;DFS;MATRIZ;6;2,3557
sample100-5940.gr;DFS;MATRIZ;7;2,4092
sample100-5940.gr;DFS;MATRIZ;8;2,4757
sample100-5940.gr;DFS;MATRIZ;9;2,4946
sample100-5940.gr;DFS;MATRIZ;10;2,3834
sample100-5940.gr;DFS;MATRIZ;11;2,3274
sample100-5940.gr;KRUSKAL;LISTA;1;4,0462
sample100-5940.gr;KRUSKAL;LISTA;2;3,8579
sample100-5940.gr;KRUSKAL;LISTA;3;3,7220
sample100-5940.gr;KRUSKAL;LISTA;4;3,8912
sample100-5940.gr;KRUSKAL;LISTA;5;3,4681
sample100-5940.gr;KRUSKAL;LISTA;6;2,8470
sample100-5940.gr;KRUSKAL;LISTA;7;3,1372
sample100-5940.gr;KRUSKAL;LISTA;8;2,8297
sample100-5940.gr;KRUSKAL;LISTA;9;2,9545
sample100-5940.gr;KRUSKAL;LISTA;10;3,3447
